name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
Porque Miras Mi Perfil Acaso No Ves Que Soy Pro___,6829557,2317618,174361,67397,1635880,475775,38795,72868,https://cheese.formice.com/transformice/tribe/561610
League of Gentlemice,2269497,1021045,135762,2787,1270756,345947,90,42104,https://cheese.formice.com/transformice/tribe/165
blackmage,729021,309440,170471,15416,855272,403270,333193,41747,https://cheese.formice.com/transformice/tribe/1140911
eeeeeeeee,5604564,1942627,279955,55157,1621748,567868,530224,94135,https://cheese.formice.com/transformice/tribe/1139560
Dois Mais Dois Igual a 0,10442460,2928124,161160,28952,1891364,462799,108533,79772,https://cheese.formice.com/transformice/tribe/579803
0a bus,2827401,1270803,80573,36114,1290557,296861,567559,48404,https://cheese.formice.com/transformice/tribe/683558
is it the answer,3993137,1669049,278643,84936,1118765,399461,294484,55474,https://cheese.formice.com/transformice/tribe/1135271
Anti Bubbles,2842039,1199847,137339,22629,1376786,417662,616976,54982,https://cheese.formice.com/transformice/tribe/1027955
P O R S C H E,2854156,1099979,274014,42149,1426833,549994,514028,71595,https://cheese.formice.com/transformice/tribe/1140185
someone could get hurt,1055961,467861,184122,17728,986837,500199,323544,51479,https://cheese.formice.com/transformice/tribe/1018759
